"experiment","age","participant","condition","trial","rating"
"constrained","6_years",86,"conjunctive","cm",18.5
"constrained","6_years",86,"conjunctive","cc",20
"constrained","6_years",89,"conjunctive","oo",2.25
"constrained","6_years",89,"conjunctive","om",1.5
"constrained","6_years",89,"conjunctive","oc",5.5
"constrained","6_years",89,"conjunctive","mo",6.75
"constrained","6_years",89,"conjunctive","mm",14.25
"constrained","6_years",89,"conjunctive","mc",13.25
"constrained","6_years",89,"conjunctive","co",9.75
"constrained","6_years",89,"conjunctive","cm",18.25
"constrained","6_years",89,"conjunctive","cc",16
"constrained","6_years",100,"conjunctive","oo",1
"constrained","6_years",100,"conjunctive","om",1.25
"constrained","6_years",100,"conjunctive","oc",3.25
"constrained","6_years",100,"conjunctive","mo",6.5
"constrained","6_years",100,"conjunctive","mm",15.75
"constrained","6_years",100,"conjunctive","mc",13.75
"constrained","6_years",100,"conjunctive","co",7.25
"constrained","6_years",100,"conjunctive","cm",18
"constrained","6_years",100,"conjunctive","cc",20
"constrained","6_years",121,"conjunctive","oo",0
"constrained","6_years",121,"conjunctive","om",2.75
"constrained","6_years",121,"conjunctive","oc",4.75
"constrained","6_years",121,"conjunctive","mo",7.25
"constrained","6_years",121,"conjunctive","mm",15
"constrained","6_years",121,"conjunctive","mc",20
"constrained","6_years",121,"conjunctive","co",7
"constrained","6_years",121,"conjunctive","cm",17.5
"constrained","6_years",121,"conjunctive","cc",20
"constrained","adults",7,"conjunctive","oo",1
"constrained","adults",7,"conjunctive","om",3.75
